iter	Passed	Remaining
0	244	48693
1	262	25975
2	276	18150
3	288	14149
4	301	11752
5	314	10164
6	325	8973
7	337	8108
8	352	7475
9	363	6915
10	375	6447
11	390	6114
12	402	5791
13	415	5518
14	426	5260
15	437	5035
16	450	4851
17	462	4679
18	474	4516
19	488	4397
20	501	4275
21	513	4156
22	524	4037
23	536	3934
24	550	3854
25	563	3769
26	574	3681
27	585	3598
28	597	3524
29	611	3463
30	622	3393
31	634	3332
32	647	3276
33	659	3219
34	670	3160
35	683	3114
36	695	3063
37	708	3020
38	719	2970
39	731	2926
40	743	2885
41	754	2839
42	766	2798
43	778	2760
44	789	2720
45	803	2690
46	816	2656
47	830	2628
48	842	2595
49	853	2559
50	865	2528
51	877	2498
52	890	2471
53	901	2438
54	916	2415
55	929	2389
56	941	2360
57	951	2330
58	964	2304
59	977	2280
60	988	2253
61	1000	2225
62	1015	2209
63	1043	2217
64	1060	2202
65	1077	2187
66	1094	2173
67	1109	2154
68	1129	2143
69	1147	2130
70	1160	2107
71	1170	2081
72	1181	2056
73	1194	2033
74	1246	2077
75	1273	2078
76	1310	2094
77	1348	2108
78	1390	2129
79	1413	2119
80	1453	2135
81	1465	2109
82	1477	2082
83	1492	2061
84	1506	2037
85	1518	2013
86	1529	1986
87	1541	1961
88	1556	1940
89	1581	1932
90	1593	1908
91	1607	1887
92	1621	1865
93	1635	1844
94	1650	1824
95	1661	1800
96	1673	1776
97	1684	1753
98	1695	1729
99	1707	1707
100	1719	1685
101	1730	1662
102	1742	1641
103	1754	1619
104	1767	1599
105	1778	1577
106	1792	1557
107	1804	1537
108	1815	1515
109	1827	1494
110	1840	1475
111	1851	1454
112	1865	1436
113	1877	1416
114	1891	1397
115	1904	1379
116	1916	1359
117	1927	1339
118	1943	1322
119	1956	1304
120	1968	1285
121	1982	1267
122	1993	1247
123	2005	1229
124	2018	1211
125	2029	1191
126	2041	1173
127	2053	1155
128	2065	1136
129	2080	1120
130	2091	1101
131	2104	1083
132	2116	1066
133	2127	1047
134	2139	1030
135	2151	1012
136	2163	994
137	2173	976
138	2185	959
139	2198	942
140	2209	924
141	2222	907
142	2236	891
143	2249	874
144	2260	857
145	2271	840
146	2283	823
147	2296	806
148	2308	789
149	2320	773
150	2334	757
151	2346	740
152	2357	724
153	2368	707
154	2380	691
155	2394	675
156	2405	658
157	2418	642
158	2431	626
159	2442	610
160	2453	594
161	2465	578
162	2476	562
163	2487	546
164	2492	528
165	2506	513
166	2518	497
167	2534	482
168	2546	467
169	2557	451
170	2568	435
171	2582	420
172	2594	404
173	2608	389
174	2618	374
175	2631	358
176	2642	343
177	2653	327
178	2664	312
179	2678	297
180	2688	282
181	2700	267
182	2712	251
183	2725	236
184	2735	221
185	2748	206
186	2759	191
187	2770	176
188	2782	161
189	2794	147
190	2805	132
191	2819	117
192	2832	102
193	2844	87
194	2855	73
195	2867	58
196	2880	43
197	2892	29
198	2904	14
199	2915	0
