epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7642,2.22075,2.69111,2.15491,0,0,0,0,nan,nan,nan,0.00194595,0.00194595,0.0422162
2,84.2334,2.23117,2.34263,2.15859,0,0,0,0,nan,nan,nan,0.00394528,0.00394528,0.0342155
3,113.869,2.17354,2.33082,2.12207,0.29083,0.04157,0.00916,0.00327,nan,nan,nan,0.00594191,0.00594191,0.0262122
4,145.087,2.13628,2.20718,2.09394,0.43723,0.13826,0.05957,0.02042,3.06051,inf,3.68501,0.00793382,0.00793382,0.0182041
5,174.124,2.10443,2.15291,2.04109,0.22526,0.06351,0.03216,0.01207,nan,nan,nan,0.00991898,0.00991898,0.0101892
6,203.873,2.06929,2.1053,2.04601,0.29832,0.23389,0.14609,0.05166,2.70918,10.7233,3.02574,0.00995765,0.00995765,0.00995765
7,234.442,2.05737,2.05133,2.00876,0.46123,0.18947,0.19153,0.06828,2.73392,6.52037,2.89392,0.00993906,0.00993906,0.00993906
8,263.411,2.05053,2.00669,1.99607,0.50869,0.22749,0.23784,0.09465,2.54257,4.17752,2.60696,0.00991711,0.00991711,0.00991711
9,293.979,2.01989,1.95792,1.981,0.54914,0.21229,0.22334,0.09355,2.6095,5.28134,2.54699,0.00989183,0.00989183,0.00989183
10,323.565,2.00773,1.90978,1.95665,0.46031,0.28625,0.28338,0.11068,2.41988,2.63699,2.41823,0.00986323,0.00986323,0.00986323
11,352.405,1.96014,1.85576,1.92521,0.58588,0.29241,0.30093,0.1188,2.40108,2.58719,2.43869,0.00983133,0.00983133,0.00983133
12,380.763,1.94076,1.80905,1.91268,0.73391,0.24982,0.28789,0.10803,2.45078,2.39515,2.48534,0.00979616,0.00979616,0.00979616
13,408.698,1.95616,1.83452,1.93458,0.54184,0.28771,0.28839,0.11674,2.47578,2.4859,2.41881,0.00975773,0.00975773,0.00975773
14,435.91,1.92528,1.7717,1.87848,0.69974,0.29158,0.30262,0.11872,2.37994,2.1981,2.3631,0.00971608,0.00971608,0.00971608
15,464.236,1.94173,1.78379,1.89324,0.63917,0.33008,0.34795,0.13497,2.27822,2.27116,2.27445,0.00967122,0.00967122,0.00967122
16,492.166,1.89806,1.71897,1.87697,0.6797,0.29899,0.34111,0.14036,2.31523,1.98246,2.29088,0.0096232,0.0096232,0.0096232
17,520.342,1.89858,1.73506,1.86738,0.64203,0.30797,0.32572,0.1318,2.30582,2.14062,2.2358,0.00957205,0.00957205,0.00957205
18,548.17,1.8935,1.69591,1.8599,0.66194,0.28703,0.30298,0.12616,2.43047,2.15837,2.33471,0.0095178,0.0095178,0.0095178
19,576.121,1.89877,1.70171,1.84922,0.78955,0.33518,0.35559,0.15225,2.21494,1.77279,2.16468,0.00946048,0.00946048,0.00946048
20,603.635,1.89028,1.66583,1.84263,0.78966,0.30851,0.3597,0.14421,2.29866,1.84912,2.28281,0.00940014,0.00940014,0.00940014
21,630.786,1.8694,1.67321,1.85411,0.75389,0.32234,0.34261,0.13944,2.23824,1.84889,2.19814,0.00933683,0.00933683,0.00933683
22,658.85,1.86124,1.62223,1.82802,0.08917,0.06065,0.02713,0.00816,3.40293,3.66282,3.27629,0.00927057,0.00927057,0.00927057
23,687.48,1.86921,1.64271,1.85274,0.65675,0.27314,0.30122,0.11881,2.37215,1.96505,2.29428,0.00920142,0.00920142,0.00920142
24,716.397,1.85305,1.6183,1.82689,0.65422,0.33537,0.3608,0.15353,2.21154,1.8557,2.15842,0.00912942,0.00912942,0.00912942
25,745.111,1.816,1.57053,1.80815,0.69651,0.29061,0.33993,0.14139,2.2553,1.83816,2.20996,0.00905463,0.00905463,0.00905463
26,773.727,1.81672,1.55337,1.80395,0.73857,0.32359,0.36135,0.15503,2.17551,1.80442,2.15635,0.0089771,0.0089771,0.0089771
27,802.732,1.83298,1.58019,1.8064,0.61635,0.34327,0.36258,0.16029,2.1633,1.74991,2.14963,0.00889687,0.00889687,0.00889687
28,831.5,1.82094,1.55687,1.80353,0.58628,0.34162,0.37663,0.16274,2.17373,1.75291,2.1456,0.00881401,0.00881401,0.00881401
29,859.325,1.80679,1.53573,1.8102,0.58354,0.31447,0.35,0.15554,2.20704,1.78666,2.16078,0.00872857,0.00872857,0.00872857
30,887.026,1.77309,1.49808,1.78989,0.40955,0.33103,0.34728,0.14614,2.25051,1.83796,2.20682,0.0086406,0.0086406,0.0086406
31,914.941,1.80719,1.51268,1.80413,0.51431,0.34248,0.37523,0.15918,2.20937,1.7558,2.1739,0.00855018,0.00855018,0.00855018
32,943.184,1.80333,1.53831,1.76591,0.77576,0.33308,0.36912,0.15945,2.21682,1.76236,2.16575,0.00845736,0.00845736,0.00845736
33,972.088,1.79584,1.491,1.76257,0.62066,0.33941,0.34965,0.14685,2.22608,1.94421,2.1726,0.0083622,0.0083622,0.0083622
34,1000.15,1.75962,1.45809,1.75078,0.62497,0.36655,0.38728,0.17283,2.12526,1.69897,2.10583,0.00826477,0.00826477,0.00826477
35,1028.68,1.77925,1.47747,1.76399,0.62312,0.323,0.37754,0.16392,2.15618,1.7094,2.1244,0.00816514,0.00816514,0.00816514
36,1057.15,1.75554,1.43222,1.74123,0.59405,0.36887,0.3893,0.17584,2.09221,1.65282,2.07096,0.00806337,0.00806337,0.00806337
37,1084.93,1.75555,1.4529,1.74467,0.57314,0.36932,0.40354,0.17112,2.07392,1.62241,2.05356,0.00795954,0.00795954,0.00795954
38,1112.3,1.74059,1.44682,1.75142,0.60023,0.36876,0.39399,0.17427,2.10269,1.6317,2.08696,0.00785371,0.00785371,0.00785371
39,1140.49,1.7607,1.43167,1.73696,0.44665,0.36524,0.39303,0.17812,2.14179,1.64807,2.10072,0.00774596,0.00774596,0.00774596
